"id","created_at","closed_at","cancelled_at","customer_id","financial_status","fulfillment_status","processed_at","total_price","shipping_rate","subtotal_price","total_discounts","total_line_items_price"
"7675398239","2016-08-21","2016-08-25","2016-08-22","8683754719","voided","","2016-08-21",44.57,"6.33",35.0,0.0,35.0
"7676331935","2016-08-22","2016-08-22","","8686224991","refunded","","2016-08-22",124.55,"0.00",114.0,0.0,114.0
"7676363167","2016-08-22","","2016-08-22","8686224991","voided","","2016-08-22",97.68,"7.00",83.0,0.0,83.0
"7676539359","2016-08-22","2016-08-22","","8686915935","paid","fulfilled","2016-08-22",131.1,"0.00",120.0,0.0,120.0
"7676549855","2016-08-22","2016-08-22","","8686924319","paid","fulfilled","2016-08-22",91.12,"7.00",77.0,0.0,77.0
"7676553055","2016-08-22","2016-08-22","","8687041311","paid","fulfilled","2016-08-22",75.0,"7.00",68.0,0.0,68.0
"7676564127","2016-08-22","2016-08-22","","8687317279","paid","fulfilled","2016-08-22",94.4,"7.00",80.0,0.0,80.0
"7676566815","2016-08-22","2016-08-22","","8687317407","paid","fulfilled","2016-08-22",34.31,"7.00",25.0,0.0,25.0
"7676567711","2016-08-22","2016-08-22","","8687301023","partially_refunded","fulfilled","2016-08-22",97.68,"7.00",83.0,0.0,83.0
"7676582495","2016-08-22","2016-08-22","","8687334751","paid","fulfilled","2016-08-22",168.0,"0.00",168.0,0.0,168.0
"7676590623","2016-08-22","2016-08-22","","8687338847","paid","fulfilled","2016-08-22",56.16,"7.00",45.0,0.0,45.0
"7676594463","2016-08-22","2016-08-22","","8687175327","paid","fulfilled","2016-08-22",108.6,"7.00",93.0,0.0,93.0
"7676596255","2016-08-22","2016-08-22","","8687323487","refunded","fulfilled","2016-08-22",95.93,"37.93",58.0,0.0,58.0
"7676602079","2016-08-22","2016-08-22","","8687346591","paid","fulfilled","2016-08-22",114.71,"0.00",105.0,0.0,105.0
"7676610719","2016-08-22","2016-08-22","","8687351327","paid","fulfilled","2016-08-22",34.31,"7.00",25.0,0.0,25.0
"7676611039","2016-08-22","2016-08-22","","8687357279","refunded","fulfilled","2016-08-22",166.06,"0.00",152.0,0.0,152.0
"7676619167","2016-08-22","2016-08-22","","8687471135","refunded","fulfilled","2016-08-22",111.44,"0.00",102.0,0.0,102.0
"7676620191","2016-08-22","2016-08-22","","8687613151","paid","fulfilled","2016-08-22",45.24,"7.00",35.0,0.0,35.0
"7676629791","2016-08-22","2016-08-22","","8687626015","paid","fulfilled","2016-08-22",56.16,"7.00",45.0,0.0,45.0
"7676633503","2016-08-22","2016-08-22","","8687623647","paid","fulfilled","2016-08-22",112.97,"7.00",97.0,0.0,97.0
"7676633695","2016-08-22","2016-08-22","","8687362591","paid","fulfilled","2016-08-22",78.01,"7.00",65.0,0.0,65.0
"7676636959","2016-08-22","2016-08-22","","8687628447","paid","fulfilled","2016-08-22",121.27,"0.00",111.0,0.0,111.0
"7676638943","2016-08-22","2016-08-22","","8687634975","paid","fulfilled","2016-08-22",145.0,"0.00",145.0,0.0,145.0
"7676641375","2016-08-22","2016-08-22","","8687634271","paid","fulfilled","2016-08-22",34.31,"7.00",25.0,0.0,25.0
"7676649887","2016-08-22","2016-08-22","","8687639839","paid","fulfilled","2016-08-22",45.24,"7.00",35.0,0.0,35.0
"7676657695","2016-08-22","2016-08-22","","8687618207","paid","fulfilled","2016-08-22",32.0,"7.00",25.0,0.0,25.0
"7676658079","2016-08-22","2016-08-22","","8687655071","paid","fulfilled","2016-08-22",132.0,"0.00",132.0,0.0,132.0
"7676672351","2016-08-22","2016-08-22","","8687671135","paid","fulfilled","2016-08-22",45.24,"7.00",35.0,0.0,35.0
"7676689567","2016-08-22","2016-08-22","","8687684383","paid","fulfilled","2016-08-22",34.31,"7.00",25.0,0.0,25.0
"7676695775","2016-08-22","2016-08-22","","8687691871","paid","fulfilled","2016-08-22",61.63,"7.00",50.0,0.0,50.0
"7676711455","2016-08-22","2016-08-22","","8687716127","paid","fulfilled","2016-08-22",151.86,"0.00",139.0,0.0,139.0
"7676713759","2016-08-22","2016-08-22","","8687720991","paid","fulfilled","2016-08-22",113.62,"0.00",104.0,0.0,104.0
"7676717215","2016-08-22","2016-08-22","","8687705951","paid","fulfilled","2016-08-22",168.25,"0.00",154.0,0.0,154.0
"7676724895","2016-08-22","2016-08-22","","8687723935","paid","fulfilled","2016-08-22",138.7,"41.70",97.0,0.0,97.0
"7676727455","2016-08-22","2016-08-22","","8687727519","paid","fulfilled","2016-08-22",113.62,"0.00",104.0,0.0,104.0
"7676824287","2016-08-22","2016-08-22","","8687792095","partially_refunded","fulfilled","2016-08-22",133.29,"0.00",122.0,0.0,122.0
"7676870751","2016-08-22","2016-08-22","","8687860255","partially_refunded","fulfilled","2016-08-22",100.0,"0.00",100.0,0.0,100.0
"7676880287","2016-08-22","2016-08-22","","8687878815","paid","fulfilled","2016-08-22",52.0,"7.00",45.0,0.0,45.0
"7676882847","2016-08-22","2016-08-22","","8687853791","paid","fulfilled","2016-08-22",210.97,"47.97",163.0,0.0,163.0
"7676905311","2016-08-22","2016-08-22","","8687900703","paid","fulfilled","2016-08-22",56.16,"7.00",45.0,0.0,45.0
"7676906399","2016-08-22","2016-08-22","","8687622367","paid","fulfilled","2016-08-22",157.97,"47.97",110.0,0.0,110.0
"7676928287","2016-08-22","2016-08-22","","8687926559","paid","fulfilled","2016-08-22",67.0,"7.00",60.0,0.0,60.0
"7676943775","2016-08-22","2016-08-22","","8687947103","partially_refunded","fulfilled","2016-08-22",172.0,"0.00",172.0,0.0,172.0
"7676950559","2016-08-22","2016-08-22","","8687919391","paid","fulfilled","2016-08-22",157.97,"47.97",110.0,0.0,110.0
"7676970591","2016-08-22","2016-08-22","","8687965599","paid","fulfilled","2016-08-22",76.0,"7.00",69.0,0.0,69.0
"7676978527","2016-08-22","2016-08-22","","8687966111","paid","fulfilled","2016-08-22",103.0,"7.00",96.0,0.0,96.0
"7676989599","2016-08-22","2016-08-22","","8687967647","paid","fulfilled","2016-08-22",270.48,"52.48",218.0,0.0,218.0
"7677033695","2016-08-22","2016-08-22","","8688005087","paid","fulfilled","2016-08-22",149.0,"0.00",149.0,0.0,149.0
"7677034207","2016-08-22","2016-08-22","","8688019615","refunded","fulfilled","2016-08-22",106.0,"0.00",106.0,0.0,106.0
"7677036255","2016-08-22","2016-08-22","","8688025183","paid","fulfilled","2016-08-22",121.0,"0.00",121.0,0.0,121.0
"7677053023","2016-08-22","2016-08-23","","8688047199","paid","fulfilled","2016-08-22",32.0,"7.00",25.0,0.0,25.0
"7677060767","2016-08-22","2016-08-23","","8688060063","paid","fulfilled","2016-08-22",125.0,"0.00",125.0,0.0,125.0
"7677083615","2016-08-22","2016-08-23","","8688075359","paid","fulfilled","2016-08-22",154.83,"32.83",122.0,0.0,122.0
"7677109471","2016-08-22","2016-08-23","","8688093791","paid","fulfilled","2016-08-22",82.38,"7.00",69.0,0.0,69.0
